archname,devname,freq_MHz,pipe,precision,wlgroup,wlname,wlinstance,batch,opnum,opname,is_input_node,is_output_node,optype,op_rpt_count,attrs,inList,outList,input_tensors,output_tensors,weight_tensors,tensor_attributes,domain,opclass,removed,fused,fused_with_op,inElems,outElems,inBytes,outBytes,instrs,inParamCount,inActCount,outActCount,instr_count,compute_cycles,mem_rd_cycles,mem_wr_cycles,ramp_penalty,rsrc_bnck,ideal_cycles,ideal_msecs,cycles,matrix_cycles,vector_cycles,msecs,matrix_pipe_util,vector_pipe_util,mem_rd_util,mem_wr_util,memory_traffic,mem_util,uses_perf_lookup,lut_key,lut_key_resolved,lut_hit_source
Blackhole,p100a,1350.0,VECTOR,BF16,TTNN,vitoptim_bh,vitoptim_bh_b16,1,0,ttsim.ttnn.Op_1,True,False,Fold,1,"{'stride_h': 16, 'stride_w': 1, 'pad_h': 0, 'pad_w': 0, 'pad_c': 0, 'flatten_nd': True}",['ttsim.ttnn.Tensor_1'],['ttsim.ttnn.Op_1.out'],ttsim.ttnn.Tensor_1[10x224x14x64]:bfloat16,ttsim.ttnn.Op_1.out[1x1x1960x1024]:bfloat16,,"{""inputs"": [{""layout"": ""ROW_MAJOR_LAYOUT"", ""memory"": null, ""dtype"": ""bfloat16""}], ""outputs"": [{""layout"": ""ROW_MAJOR_LAYOUT"", ""memory"": ""L1_HEIGHT_SHARDED"", ""dtype"": ""bfloat16""}]}",,None,False,False,NA,2007040,2007040,4014080,4014080,{'mov': 2007040},0,2007040,2007040,2007040,872,15120,15120,100.0,MEM,30340.0,0.022474074074074073,37925.0,0,872,0.028092592592592593,0.0,0.017244561634805537,0.39868160843770606,0.39868160843770606,0.0,0.0,False,,,
Blackhole,p100a,1350.0,VECTOR,BF16,TTNN,vitoptim_bh,vitoptim_bh_b16,1,1,ttsim.ttnn.Op_2,False,False,ShardedToInterleaved,1,"{'element_size': 2, 'memory_config': {'memory_layout': <TensorMemoryLayout.INTERLEAVED: 1>, 'buffer_type': <BufferType.L1: 2>, 'shard_spec': None, 'nd_shard_spec': None}}",['ttsim.ttnn.Op_1.out'],['ttsim.ttnn.Op_2.out'],ttsim.ttnn.Op_1.out[1x1x1960x1024]:bfloat16,ttsim.ttnn.Op_2.out[1x1x1960x1024]:bfloat16,,"{""inputs"": [{""layout"": ""ROW_MAJOR_LAYOUT"", ""memory"": ""L1_HEIGHT_SHARDED"", ""dtype"": ""bfloat16""}], ""outputs"": [{""layout"": ""ROW_MAJOR_LAYOUT"", ""memory"": ""L1_INTERLEAVED"", ""dtype"": ""bfloat16""}]}",,None,False,False,NA,2007040,2007040,4014080,4014080,{'mov': 2007040},0,2007040,2007040,2007040,872,15120,15120,100.0,MEM,30340.0,0.022474074074074073,37925.0,0,872,0.028092592592592593,0.0,0.017244561634805537,0.39868160843770606,0.39868160843770606,0.0,0.0,False,,,
Blackhole,p100a,1350.0,VECTOR,BF16,TTNN,vitoptim_bh,vitoptim_bh_b16,1,2,ttsim.ttnn.Op_3,False,False,TilizeWithValPadding,1,"{'output_padded_shape': [1, 1, 1984, 1024], 'pad_value': 0.0, 'use_multicore': True, 'element_size': 2}",['ttsim.ttnn.Op_2.out'],['ttsim.ttnn.Op_3.out'],ttsim.ttnn.Op_2.out[1x1x1960x1024]:bfloat16,ttsim.ttnn.Op_3.out[1x1x1960x1024]:bfloat8_b,,"{""inputs"": [{""layout"": ""ROW_MAJOR_LAYOUT"", ""memory"": ""L1_INTERLEAVED"", ""dtype"": ""bfloat16""}], ""outputs"": [{""layout"": ""TILE_LAYOUT"", ""memory"": ""L1_INTERLEAVED"", ""dtype"": ""bfloat8_b""}]}",,None,False,False,NA,2007040,2031616,4014080,4063232,{'mov': 2031616},0,2007040,2007040,2031616,882,15120,15306,100.0,MEM,30526.0,0.02261185185185185,38158.0,0,882,0.028265185185185185,0.0,0.017336041407324903,0.3962523750245692,0.4011269082093953,0.0,0.0,False,,,
Blackhole,p100a,1350.0,MATRIX,BF16,TTNN,vitoptim_bh,vitoptim_bh_b16,1,3,ttsim.ttnn.Op_4,True,False,MatMul,1,{},"['ttsim.ttnn.Op_3.out', 'ttsim.ttnn.Tensor_4', 'ttsim.ttnn.Tensor_5']",['ttsim.ttnn.Op_4.out'],ttsim.ttnn.Op_3.out[1x1x1960x1024]:bfloat8_b;ttsim.ttnn.Tensor_4[1024x768]:bfloat8_b;ttsim.ttnn.Tensor_5[1x768]:bfloat8_b,ttsim.ttnn.Op_4.out[1x1x1960x768]:bfloat16,,"{""inputs"": [{""layout"": ""TILE_LAYOUT"", ""memory"": ""L1_INTERLEAVED"", ""dtype"": ""bfloat8_b""}, {""layout"": ""TILE_LAYOUT"", ""memory"": null, ""dtype"": ""bfloat8_b""}, {""layout"": ""TILE_LAYOUT"", ""memory"": null, ""dtype"": ""bfloat8_b""}], ""outputs"": [{""layout"": ""TILE_LAYOUT"", ""memory"": ""L1_INTERLEAVED"", ""dtype"": ""bfloat16""}]}",,None,False,False,NA,787200,1505280,1574400,3010560,"{'mac': 1541406720, 'add': 1505280}",0,2794240,1505280,1542912000,41855,5931,11340,100.0,COMP,41955.0,0.03107777777777778,52444.0,41855,0,0.03884740740740741,0.5985698963174829,0.0,0.11309259921344297,0.21623167679656774,0.0,0.0,False,,,
Blackhole,p100a,1350.0,VECTOR,BF16,TTNN,vitoptim_bh,vitoptim_bh_b16,1,4,ttsim.ttnn.Op_5,False,False,UntilizeWithUnpadding,1,"{'output_shape': [1, 1, 1960, 768], 'use_multicore': True, 'use_pack_untilize': True, 'element_size': 2}",['ttsim.ttnn.Op_4.out'],['ttsim.ttnn.Op_5.out'],ttsim.ttnn.Op_4.out[1x1x1960x768]:bfloat16,ttsim.ttnn.Op_5.out[1x1x1960x768]:bfloat16,,"{""inputs"": [{""layout"": ""TILE_LAYOUT"", ""memory"": ""L1_INTERLEAVED"", ""dtype"": ""bfloat16""}], ""outputs"": [{""layout"": ""ROW_MAJOR_LAYOUT"", ""memory"": ""L1_INTERLEAVED"", ""dtype"": ""bfloat16""}]}",,None,False,False,NA,1523712,1505280,3047424,3010560,{'mov': 1505280},0,1505280,1505280,1505280,654,11479,11340,100.0,MEM,22919.0,0.016977037037037037,28649.0,0,654,0.021221481481481484,0.0,0.017121165844932153,0.4006806579693704,0.3958287883415507,0.0,0.0,False,,,
Blackhole,p100a,1350.0,VECTOR,BF16,TTNN,vitoptim_bh,vitoptim_bh_b16,1,5,ttsim.ttnn.Op_6,True,False,Concat,1,{'axis': 1},"['ttsim.ttnn.Tensor_2', 'ttsim.ttnn.Op_5.out']",['ttsim.ttnn.Op_6.out'],ttsim.ttnn.Tensor_2[10x1x768]:bfloat16;ttsim.ttnn.Op_5.out[10x196x768]:bfloat16,ttsim.ttnn.Op_6.out[10x197x768]:bfloat16,,"{""inputs"": [{""layout"": ""ROW_MAJOR_LAYOUT"", ""memory"": null, ""dtype"": ""bfloat16""}, {""layout"": ""ROW_MAJOR_LAYOUT"", ""memory"": ""L1_INTERLEAVED"", ""dtype"": ""bfloat16""}], ""outputs"": [{""layout"": ""ROW_MAJOR_LAYOUT"", ""memory"": ""L1_INTERLEAVED"", ""dtype"": ""bfloat16""}]}",,None,False,False,NA,1512960,1512960,3025920,3025920,{'mov': 1512960},0,1512960,1512960,1512960,657,11398,11398,100.0,MEM,22896.0,0.01696,28620.0,0,657,0.0212,0.0,0.01721698113207547,0.39825296995108317,0.39825296995108317,0.0,0.0,False,,,
Blackhole,p100a,1350.0,VECTOR,BF16,TTNN,vitoptim_bh,vitoptim_bh_b16,1,6,ttsim.ttnn.Op_7,False,False,TilizeWithValPadding,1,"{'output_padded_shape': [10, 224, 768], 'pad_value': 0.0, 'use_multicore': True, 'element_size': 2}",['ttsim.ttnn.Op_6.out'],['ttsim.ttnn.Op_7.out'],ttsim.ttnn.Op_6.out[10x197x768]:bfloat16,ttsim.ttnn.Op_7.out[10x197x768]:bfloat16,,"{""inputs"": [{""layout"": ""ROW_MAJOR_LAYOUT"", ""memory"": ""L1_INTERLEAVED"", ""dtype"": ""bfloat16""}], ""outputs"": [{""layout"": ""TILE_LAYOUT"", ""memory"": ""L1_INTERLEAVED"", ""dtype"": ""bfloat16""}]}",,None,False,False,NA,1512960,1720320,3025920,3440640,{'mov': 1720320},0,1512960,1512960,1720320,747,11398,12960,100.0,MEM,24458.0,0.018117037037037036,30573.0,0,747,0.02264666666666667,0.0,0.018325292337885355,0.3728187096246627,0.4239103769727697,0.0,0.0,False,,,
Blackhole,p100a,1350.0,VECTOR,BF16,TTNN,vitoptim_bh,vitoptim_bh_b16,1,7,ttsim.ttnn.Op_8,True,False,Add,1,{},"['ttsim.ttnn.Op_7.out', 'ttsim.ttnn.Tensor_3']",['ttsim.ttnn.Op_8.out'],ttsim.ttnn.Op_7.out[10x197x768]:bfloat16;ttsim.ttnn.Tensor_3[10x197x768]:bfloat8_b,ttsim.ttnn.Op_8.out[10x197x768]:bfloat8_b,,"{""inputs"": [{""layout"": ""TILE_LAYOUT"", ""memory"": ""L1_INTERLEAVED"", ""dtype"": ""bfloat16""}, {""layout"": ""TILE_LAYOUT"", ""memory"": null, ""dtype"": ""bfloat8_b""}], ""outputs"": [{""layout"": ""TILE_LAYOUT"", ""memory"": ""L1_INTERLEAVED"", ""dtype"": ""bfloat8_b""}]}",,None,False,False,NA,3025920,1512960,9077760,3025920,{'add': 1512960},0,3025920,1512960,1512960,657,34194,11398,100.0,MEM,45692.0,0.033845925925925925,57115.0,0,657,0.04230740740740741,0.0,0.008627330823776591,0.598686859844174,0.1995622866147247,0.0,0.0,False,,,
Blackhole,p100a,1350.0,VECTOR,BF16,TTNN,vitoptim_bh,vitoptim_bh_b16,1,8,ttsim.ttnn.Op_9,False,False,InterleavedToSharded,1,"{'element_size': 1, 'memory_config': {'memory_layout': <TensorMemoryLayout.BLOCK_SHARDED: 4>, 'buffer_type': <BufferType.L1: 2>, 'shard_spec': None, 'nd_shard_spec': None}}",['ttsim.ttnn.Op_8.out'],['ttsim.ttnn.Op_9.out'],ttsim.ttnn.Op_8.out[10x197x768]:bfloat8_b,ttsim.ttnn.Op_9.out[10x197x768]:bfloat8_b,,"{""inputs"": [{""layout"": ""TILE_LAYOUT"", ""memory"": ""L1_INTERLEAVED"", ""dtype"": ""bfloat8_b""}], ""outputs"": [{""layout"": ""TILE_LAYOUT"", ""memory"": ""L1_BLOCK_SHARDED"", ""dtype"": ""bfloat8_b""}]}",,None,False,False,NA,1512960,1512960,1512960,1512960,{'mov': 1512960},0,1512960,1512960,1512960,657,5699,5699,100.0,MEM,11498.0,0.008517037037037037,14373.0,0,657,0.010646666666666667,0.0,0.03428422334319012,0.39652113411028006,0.39652113411028006,0.0,0.0,False,,,
Blackhole,p100a,1350.0,VECTOR,BF16,TTNN,vitoptim_bh,vitoptim_bh_b16,1,9,ttsim.ttnn.Op_10,True,False,LayerNormalization,1,{'math_fidelity': 'HiFi2'},"['ttsim.ttnn.Op_9.out', 'ttsim.ttnn.Tensor_10', 'ttsim.ttnn.Tensor_11']",['ttsim.ttnn.Op_10.out'],ttsim.ttnn.Op_9.out[10x197x768]:bfloat8_b;ttsim.ttnn.Tensor_10[1x768]:bfloat16;ttsim.ttnn.Tensor_11[1x768]:bfloat16,ttsim.ttnn.Op_10.out[10x197x768]:bfloat8_b,,"{""inputs"": [{""layout"": ""TILE_LAYOUT"", ""memory"": ""L1_BLOCK_SHARDED"", ""dtype"": ""bfloat8_b""}, {""layout"": ""TILE_LAYOUT"", ""memory"": null, ""dtype"": ""bfloat16""}, {""layout"": ""TILE_LAYOUT"", ""memory"": null, ""dtype"": ""bfloat16""}], ""outputs"": [{""layout"": ""TILE_LAYOUT"", ""memory"": ""L1_BLOCK_SHARDED"", ""dtype"": ""bfloat8_b""}]}",,None,False,False,NA,1514496,1512960,3028992,3025920,"{'add': 3027890, 'sub': 1512960, 'mul': 3025920, 'div': 3940, 'mac': 1512960, 'rsqrt': 1970}",0,1514496,1512960,9085640,3946,11410,11398,100.0,MEM,22908.0,0.016968888888888888,28635.0,0,3946,0.02121111111111111,0.0,0.10335254059717129,0.3984634188929632,0.3980443513183167,0.0,0.0,False,,,
